,Unnamed: 0.1,Unnamed: 0,match_id,date,inning_no,batting_team,over_num,balls,batsmen,bowler,non_striker,batsmen_runs,extra_runs,extra_type,wicket_type,player_out,fielder,total_runs,is_wicket,year,team_1,team_2,bowling_team,legal_ball,ball_no
0,128024,128024,242,2023-10-05,1,England,0,1,JM Bairstow,TA Boult,DJ Malan,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,1.0
1,128025,128025,242,2023-10-05,1,England,0,2,JM Bairstow,TA Boult,DJ Malan,6,0,fair delivery,0,0,0,6,0,2023,England,New Zealand,New Zealand,1.0,2.0
2,128026,128026,242,2023-10-05,1,England,0,3,JM Bairstow,TA Boult,DJ Malan,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,3.0
3,128027,128027,242,2023-10-05,1,England,0,4,DJ Malan,TA Boult,JM Bairstow,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,4.0
4,128028,128028,242,2023-10-05,1,England,0,5,JM Bairstow,TA Boult,DJ Malan,4,0,fair delivery,0,0,0,4,0,2023,England,New Zealand,New Zealand,1.0,5.0
5,128029,128029,242,2023-10-05,1,England,0,6,JM Bairstow,TA Boult,DJ Malan,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,6.0
6,128030,128030,242,2023-10-05,1,England,1,1,DJ Malan,MJ Henry,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,1.0
7,128031,128031,242,2023-10-05,1,England,1,2,DJ Malan,MJ Henry,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,2.0
8,128032,128032,242,2023-10-05,1,England,1,3,DJ Malan,MJ Henry,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,3.0
9,128033,128033,242,2023-10-05,1,England,1,4,DJ Malan,MJ Henry,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,4.0
10,128034,128034,242,2023-10-05,1,England,1,5,DJ Malan,MJ Henry,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,5.0
11,128035,128035,242,2023-10-05,1,England,1,6,DJ Malan,MJ Henry,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,6.0
12,128036,128036,242,2023-10-05,1,England,2,1,JM Bairstow,TA Boult,DJ Malan,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,1.0
13,128037,128037,242,2023-10-05,1,England,2,2,JM Bairstow,TA Boult,DJ Malan,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,2.0
14,128038,128038,242,2023-10-05,1,England,2,3,DJ Malan,TA Boult,JM Bairstow,2,0,fair delivery,0,0,0,2,0,2023,England,New Zealand,New Zealand,1.0,3.0
15,128039,128039,242,2023-10-05,1,England,2,4,DJ Malan,TA Boult,JM Bairstow,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,4.0
16,128040,128040,242,2023-10-05,1,England,2,5,JM Bairstow,TA Boult,DJ Malan,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,5.0
17,128041,128041,242,2023-10-05,1,England,2,6,JM Bairstow,TA Boult,DJ Malan,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,6.0
18,128042,128042,242,2023-10-05,1,England,3,1,DJ Malan,MJ Henry,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,1.0
19,128043,128043,242,2023-10-05,1,England,3,2,DJ Malan,MJ Henry,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,2.0
20,128044,128044,242,2023-10-05,1,England,3,3,DJ Malan,MJ Henry,JM Bairstow,4,0,fair delivery,0,0,0,4,0,2023,England,New Zealand,New Zealand,1.0,3.0
21,128045,128045,242,2023-10-05,1,England,3,4,DJ Malan,MJ Henry,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,4.0
22,128046,128046,242,2023-10-05,1,England,3,5,DJ Malan,MJ Henry,JM Bairstow,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,5.0
23,128047,128047,242,2023-10-05,1,England,3,6,JM Bairstow,MJ Henry,DJ Malan,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,6.0
24,128048,128048,242,2023-10-05,1,England,4,1,DJ Malan,TA Boult,JM Bairstow,4,0,fair delivery,0,0,0,4,0,2023,England,New Zealand,New Zealand,1.0,1.0
25,128049,128049,242,2023-10-05,1,England,4,2,DJ Malan,TA Boult,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,2.0
26,128050,128050,242,2023-10-05,1,England,4,3,DJ Malan,TA Boult,JM Bairstow,0,1,wides,0,0,0,1,0,2023,England,New Zealand,New Zealand,,2.0
27,128051,128051,242,2023-10-05,1,England,4,4,DJ Malan,TA Boult,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,3.0
28,128052,128052,242,2023-10-05,1,England,4,5,DJ Malan,TA Boult,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,4.0
29,128053,128053,242,2023-10-05,1,England,4,6,DJ Malan,TA Boult,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,5.0
30,128054,128054,242,2023-10-05,1,England,4,7,DJ Malan,TA Boult,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,6.0
31,128055,128055,242,2023-10-05,1,England,5,1,JM Bairstow,MJ Henry,DJ Malan,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,1.0
32,128056,128056,242,2023-10-05,1,England,5,2,JM Bairstow,MJ Henry,DJ Malan,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,2.0
33,128057,128057,242,2023-10-05,1,England,5,3,JM Bairstow,MJ Henry,DJ Malan,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,3.0
34,128058,128058,242,2023-10-05,1,England,5,4,JM Bairstow,MJ Henry,DJ Malan,4,0,fair delivery,0,0,0,4,0,2023,England,New Zealand,New Zealand,1.0,4.0
35,128059,128059,242,2023-10-05,1,England,5,5,JM Bairstow,MJ Henry,DJ Malan,4,0,fair delivery,0,0,0,4,0,2023,England,New Zealand,New Zealand,1.0,5.0
36,128060,128060,242,2023-10-05,1,England,5,6,JM Bairstow,MJ Henry,DJ Malan,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,6.0
37,128061,128061,242,2023-10-05,1,England,6,1,JM Bairstow,MJ Santner,DJ Malan,0,1,wides,0,0,0,1,0,2023,England,New Zealand,New Zealand,,6.0
38,128062,128062,242,2023-10-05,1,England,6,2,JM Bairstow,MJ Santner,DJ Malan,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,1.0
39,128063,128063,242,2023-10-05,1,England,6,3,DJ Malan,MJ Santner,JM Bairstow,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,2.0
40,128064,128064,242,2023-10-05,1,England,6,4,JM Bairstow,MJ Santner,DJ Malan,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,3.0
41,128065,128065,242,2023-10-05,1,England,6,5,JM Bairstow,MJ Santner,DJ Malan,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,4.0
42,128066,128066,242,2023-10-05,1,England,6,6,DJ Malan,MJ Santner,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,5.0
43,128067,128067,242,2023-10-05,1,England,6,7,DJ Malan,MJ Santner,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,6.0
44,128068,128068,242,2023-10-05,1,England,7,1,JM Bairstow,MJ Henry,DJ Malan,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,1.0
45,128069,128069,242,2023-10-05,1,England,7,2,JM Bairstow,MJ Henry,DJ Malan,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,2.0
46,128070,128070,242,2023-10-05,1,England,7,3,JM Bairstow,MJ Henry,DJ Malan,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,3.0
47,128071,128071,242,2023-10-05,1,England,7,4,DJ Malan,MJ Henry,JM Bairstow,0,0,fair delivery,caught,DJ Malan,TWM Latham,0,1,2023,England,New Zealand,New Zealand,1.0,4.0
48,128072,128072,242,2023-10-05,1,England,7,5,JE Root,MJ Henry,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,5.0
49,128073,128073,242,2023-10-05,1,England,7,6,JE Root,MJ Henry,JM Bairstow,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,6.0
50,128074,128074,242,2023-10-05,1,England,8,1,JE Root,MJ Santner,JM Bairstow,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,1.0
51,128075,128075,242,2023-10-05,1,England,8,2,JM Bairstow,MJ Santner,JE Root,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,2.0
52,128076,128076,242,2023-10-05,1,England,8,3,JM Bairstow,MJ Santner,JE Root,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,3.0
53,128077,128077,242,2023-10-05,1,England,8,4,JM Bairstow,MJ Santner,JE Root,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,4.0
