,Unnamed: 0,match_id,date,inning_no,batting_team,over_num,balls,batsmen,bowler,non_striker,batsmen_runs,extra_runs,extra_type,wicket_type,player_out,fielder,total_runs,is_wicket,year,team_1,team_2,bowling_team,legal_ball,ball_no
0,0,242,2023-10-05,1,England,0,1,JM Bairstow,TA Boult,DJ Malan,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,1.0
1,1,242,2023-10-05,1,England,0,2,JM Bairstow,TA Boult,DJ Malan,6,0,fair delivery,0,0,0,6,0,2023,England,New Zealand,New Zealand,1.0,2.0
2,2,242,2023-10-05,1,England,0,3,JM Bairstow,TA Boult,DJ Malan,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,3.0
3,3,242,2023-10-05,1,England,0,4,DJ Malan,TA Boult,JM Bairstow,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,4.0
4,4,242,2023-10-05,1,England,0,5,JM Bairstow,TA Boult,DJ Malan,4,0,fair delivery,0,0,0,4,0,2023,England,New Zealand,New Zealand,1.0,5.0
5,5,242,2023-10-05,1,England,0,6,JM Bairstow,TA Boult,DJ Malan,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,6.0
6,6,242,2023-10-05,1,England,1,1,DJ Malan,MJ Henry,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,1.0
7,7,242,2023-10-05,1,England,1,2,DJ Malan,MJ Henry,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,2.0
8,8,242,2023-10-05,1,England,1,3,DJ Malan,MJ Henry,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,3.0
9,9,242,2023-10-05,1,England,1,4,DJ Malan,MJ Henry,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,4.0
10,10,242,2023-10-05,1,England,1,5,DJ Malan,MJ Henry,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,5.0
11,11,242,2023-10-05,1,England,1,6,DJ Malan,MJ Henry,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,6.0
12,12,242,2023-10-05,1,England,2,1,JM Bairstow,TA Boult,DJ Malan,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,1.0
13,13,242,2023-10-05,1,England,2,2,JM Bairstow,TA Boult,DJ Malan,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,2.0
14,14,242,2023-10-05,1,England,2,3,DJ Malan,TA Boult,JM Bairstow,2,0,fair delivery,0,0,0,2,0,2023,England,New Zealand,New Zealand,1.0,3.0
15,15,242,2023-10-05,1,England,2,4,DJ Malan,TA Boult,JM Bairstow,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,4.0
16,16,242,2023-10-05,1,England,2,5,JM Bairstow,TA Boult,DJ Malan,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,5.0
17,17,242,2023-10-05,1,England,2,6,JM Bairstow,TA Boult,DJ Malan,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,6.0
18,18,242,2023-10-05,1,England,3,1,DJ Malan,MJ Henry,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,1.0
19,19,242,2023-10-05,1,England,3,2,DJ Malan,MJ Henry,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,2.0
20,20,242,2023-10-05,1,England,3,3,DJ Malan,MJ Henry,JM Bairstow,4,0,fair delivery,0,0,0,4,0,2023,England,New Zealand,New Zealand,1.0,3.0
21,21,242,2023-10-05,1,England,3,4,DJ Malan,MJ Henry,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,4.0
22,22,242,2023-10-05,1,England,3,5,DJ Malan,MJ Henry,JM Bairstow,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,5.0
23,23,242,2023-10-05,1,England,3,6,JM Bairstow,MJ Henry,DJ Malan,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,6.0
24,24,242,2023-10-05,1,England,4,1,DJ Malan,TA Boult,JM Bairstow,4,0,fair delivery,0,0,0,4,0,2023,England,New Zealand,New Zealand,1.0,1.0
25,25,242,2023-10-05,1,England,4,2,DJ Malan,TA Boult,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,2.0
26,26,242,2023-10-05,1,England,4,3,DJ Malan,TA Boult,JM Bairstow,0,1,wides,0,0,0,1,0,2023,England,New Zealand,New Zealand,,2.0
27,27,242,2023-10-05,1,England,4,4,DJ Malan,TA Boult,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,3.0
28,28,242,2023-10-05,1,England,4,5,DJ Malan,TA Boult,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,4.0
29,29,242,2023-10-05,1,England,4,6,DJ Malan,TA Boult,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,5.0
30,30,242,2023-10-05,1,England,4,7,DJ Malan,TA Boult,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,6.0
31,31,242,2023-10-05,1,England,5,1,JM Bairstow,MJ Henry,DJ Malan,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,1.0
32,32,242,2023-10-05,1,England,5,2,JM Bairstow,MJ Henry,DJ Malan,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,2.0
33,33,242,2023-10-05,1,England,5,3,JM Bairstow,MJ Henry,DJ Malan,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,3.0
34,34,242,2023-10-05,1,England,5,4,JM Bairstow,MJ Henry,DJ Malan,4,0,fair delivery,0,0,0,4,0,2023,England,New Zealand,New Zealand,1.0,4.0
35,35,242,2023-10-05,1,England,5,5,JM Bairstow,MJ Henry,DJ Malan,4,0,fair delivery,0,0,0,4,0,2023,England,New Zealand,New Zealand,1.0,5.0
36,36,242,2023-10-05,1,England,5,6,JM Bairstow,MJ Henry,DJ Malan,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,6.0
37,37,242,2023-10-05,1,England,6,1,JM Bairstow,MJ Santner,DJ Malan,0,1,wides,0,0,0,1,0,2023,England,New Zealand,New Zealand,,6.0
38,38,242,2023-10-05,1,England,6,2,JM Bairstow,MJ Santner,DJ Malan,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,1.0
39,39,242,2023-10-05,1,England,6,3,DJ Malan,MJ Santner,JM Bairstow,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,2.0
40,40,242,2023-10-05,1,England,6,4,JM Bairstow,MJ Santner,DJ Malan,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,3.0
41,41,242,2023-10-05,1,England,6,5,JM Bairstow,MJ Santner,DJ Malan,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,4.0
42,42,242,2023-10-05,1,England,6,6,DJ Malan,MJ Santner,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,5.0
43,43,242,2023-10-05,1,England,6,7,DJ Malan,MJ Santner,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,6.0
44,44,242,2023-10-05,1,England,7,1,JM Bairstow,MJ Henry,DJ Malan,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,1.0
45,45,242,2023-10-05,1,England,7,2,JM Bairstow,MJ Henry,DJ Malan,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,2.0
46,46,242,2023-10-05,1,England,7,3,JM Bairstow,MJ Henry,DJ Malan,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,3.0
47,47,242,2023-10-05,1,England,7,4,DJ Malan,MJ Henry,JM Bairstow,0,0,fair delivery,caught,DJ Malan,TWM Latham,0,1,2023,England,New Zealand,New Zealand,1.0,4.0
48,48,242,2023-10-05,1,England,7,5,JE Root,MJ Henry,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,5.0
49,49,242,2023-10-05,1,England,7,6,JE Root,MJ Henry,JM Bairstow,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,6.0
50,50,242,2023-10-05,1,England,8,1,JE Root,MJ Santner,JM Bairstow,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,1.0
51,51,242,2023-10-05,1,England,8,2,JM Bairstow,MJ Santner,JE Root,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,2.0
52,52,242,2023-10-05,1,England,8,3,JM Bairstow,MJ Santner,JE Root,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,3.0
53,53,242,2023-10-05,1,England,8,4,JM Bairstow,MJ Santner,JE Root,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,4.0
54,54,242,2023-10-05,1,England,8,5,JE Root,MJ Santner,JM Bairstow,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,5.0
55,55,242,2023-10-05,1,England,8,6,JM Bairstow,MJ Santner,JE Root,2,0,fair delivery,0,0,0,2,0,2023,England,New Zealand,New Zealand,1.0,6.0
56,56,242,2023-10-05,1,England,9,1,JE Root,MJ Henry,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,1.0
57,57,242,2023-10-05,1,England,9,2,JE Root,MJ Henry,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,2.0
58,58,242,2023-10-05,1,England,9,3,JE Root,MJ Henry,JM Bairstow,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,3.0
59,59,242,2023-10-05,1,England,9,4,JM Bairstow,MJ Henry,JE Root,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,4.0
60,60,242,2023-10-05,1,England,9,5,JM Bairstow,MJ Henry,JE Root,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,5.0
61,61,242,2023-10-05,1,England,9,6,JM Bairstow,MJ Henry,JE Root,4,0,fair delivery,0,0,0,4,0,2023,England,New Zealand,New Zealand,1.0,6.0
62,62,242,2023-10-05,1,England,10,1,JE Root,MJ Santner,JM Bairstow,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,1.0
63,63,242,2023-10-05,1,England,10,2,JM Bairstow,MJ Santner,JE Root,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,2.0
64,64,242,2023-10-05,1,England,10,3,JE Root,MJ Santner,JM Bairstow,1,0,fair delivery,0,0,0,1,0,2023,England,New Zealand,New Zealand,1.0,3.0
65,65,242,2023-10-05,1,England,10,4,JM Bairstow,MJ Santner,JE Root,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,4.0
66,66,242,2023-10-05,1,England,10,5,JM Bairstow,MJ Santner,JE Root,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,5.0
67,67,242,2023-10-05,1,England,10,6,JM Bairstow,MJ Santner,JE Root,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,6.0
68,68,242,2023-10-05,1,England,11,1,JE Root,TA Boult,JM Bairstow,0,0,fair delivery,0,0,0,0,0,2023,England,New Zealand,New Zealand,1.0,1.0
