,Unnamed: 0,match_id,date,event_name,match_type,gender,city,venue,overs,team_1,team_2,toss_winner,toss_decision,match_winner,player_of_match,by_runs,by_wickets,umpire_1,umpire_2,tv_umpire,reserve_umpire,match_refree,year
241,241,242,2023-10-05,ICC Cricket World Cup,ODI,male,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",50,England,New Zealand,New Zealand,field,New Zealand,R Ravindra,,9.0,HDPK Dharmasena,Nitin Menon,P Wilson,Sharfuddoula,J Srinath,2023
242,242,243,2023-10-06,ICC Cricket World Cup,ODI,male,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",50,Pakistan,Netherlands,Netherlands,field,Pakistan,Saud Shakeel,81.0,,AT Holdstock,CM Brown,RJ Tucker,PR Reiffel,JJ Crowe,2023
243,243,244,2023-10-07,ICC Cricket World Cup,ODI,male,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",50,Afghanistan,Bangladesh,Bangladesh,field,Bangladesh,Mehedi Hasan Miraz,,6.0,JS Wilson,HDPK Dharmasena,Ahsan Raza,M Erasmus,AJ Pycroft,2023
244,244,245,2023-10-07,ICC Cricket World Cup,ODI,male,Delhi,"Arun Jaitley Stadium, Delhi",50,South Africa,Sri Lanka,Sri Lanka,field,South Africa,AK Markram,102.0,,RK Illingworth,Sharfuddoula,MA Gough,AG Wharf,J Srinath,2023
245,245,246,2023-10-08,ICC Cricket World Cup,ODI,male,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",50,Australia,India,Australia,bat,India,KL Rahul,,6.0,CB Gaffaney,RA Kettleborough,CM Brown,AT Holdstock,RB Richardson,2023
246,246,247,2023-10-09,ICC Cricket World Cup,ODI,male,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",50,New Zealand,Netherlands,Netherlands,field,New Zealand,MJ Santner,99.0,,PR Reiffel,RJ Tucker,JS Wilson,Nitin Menon,AJ Pycroft,2023
247,247,248,2023-10-10,ICC Cricket World Cup,ODI,male,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",50,England,Bangladesh,Bangladesh,field,England,DJ Malan,137.0,,Ahsan Raza,P Wilson,AT Holdstock,HDPK Dharmasena,J Srinath,2023
248,248,249,2023-10-10,ICC Cricket World Cup,ODI,male,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",50,Sri Lanka,Pakistan,Sri Lanka,bat,Pakistan,Mohammad Rizwan,,6.0,AG Wharf,CB Gaffaney,Nitin Menon,RJ Tucker,AJ Pycroft,2023
249,249,250,2023-10-11,ICC Cricket World Cup,ODI,male,Delhi,"Arun Jaitley Stadium, Delhi",50,Afghanistan,India,Afghanistan,bat,India,RG Sharma,,8.0,MA Gough,PR Reiffel,M Erasmus,Sharfuddoula,JJ Crowe,2023
250,250,251,2023-10-12,ICC Cricket World Cup,ODI,male,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",50,South Africa,Australia,Australia,field,South Africa,Q de Kock,134.0,,JS Wilson,RK Illingworth,RA Kettleborough,CM Brown,J Srinath,2023
251,251,252,2023-10-13,ICC Cricket World Cup,ODI,male,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",50,Bangladesh,New Zealand,New Zealand,field,New Zealand,LH Ferguson,,8.0,HDPK Dharmasena,Nitin Menon,MA Gough,AG Wharf,RB Richardson,2023
252,252,253,2023-10-14,ICC Cricket World Cup,ODI,male,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",50,Pakistan,India,India,field,India,JJ Bumrah,,7.0,M Erasmus,RK Illingworth,RA Kettleborough,CB Gaffaney,AJ Pycroft,2023
253,253,254,2023-10-15,ICC Cricket World Cup,ODI,male,Delhi,"Arun Jaitley Stadium, Delhi",50,Afghanistan,England,England,field,Afghanistan,Mujeeb Ur Rahman,69.0,,RJ Tucker,Sharfuddoula,PR Reiffel,P Wilson,JJ Crowe,2023
254,254,255,2023-10-16,ICC Cricket World Cup,ODI,male,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",50,Sri Lanka,Australia,Sri Lanka,bat,Australia,A Zampa,,5.0,CB Gaffaney,JS Wilson,CM Brown,,RB Richardson,2023
